TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
CORTILE,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,AUFERI,,8,sett.,,,x,,,,C8S03,STRAZZERI
VICOLO,AVERNA,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VIA,AVOLIO CORRADO,Tukory - Del Giudice,1,bisett.,x,,,x,,,C1B13,CAMPISI
PIAZZETTA,BAGNASCO FRANCESCO,,8,giorn.,x,x,x,x,x,x,C8G03,STRAZZERI
CORTILE,BAGNI MINERALI,,8,sett.,,,,x,,,C8S22,MOZART
VIA,BAGOLINO SEBASTIANO,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,BAINSIZZA,,8,bisett.,,,x,,,x,C8B40,MOZART
VIA,BALDISSERA ANTONIO GEN.,,8,bisett.,,x,,,x,,C8B18,STRAZZERI
PIAZZA,BALLARO',,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
PIAZZETTA,BALLARO',,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,BALLO TOMMASO,,8,sett.,,,,,,x,C8S30,MOZART
VIA,BALSANO SALESIO,,8,trisett.,x,,x,,x,,C8T01,STRAZZERI
DISCESA,BANDIERA,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
VIA,BANDIERA,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
VIA,BARA ALL'OLIVELLA,Roma - Maqueda,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VIA,BARA ALL'OLIVELLA,Angelini - Roma,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
VICOLO,BARA SULLE MURA DELL'ITRIA,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,BARBARACI,,1,sett.,x,,,,,,C1S01,STRAZZERI
VIA,BARBAZZA ANDREA,,8,sett.,x,,,,,,C8S31,MOZART
VIA,BARBERA VINCENZO,,8,sett.,,,,x,,,C8S34,MOZART
VIA,BARBIERI GIAN LUCA,,1,sett.,,,x,,,,C1S16,CAMPISI
VIA,BARCA AMILCARE,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,BARI,,1,bisett.,,,x,,,x,C1B08,STRAZZERI
PIAZZA,BARONIO MANFREDI F.,,1,bisett.,,,x,,,x,C1B15,CAMPISI
VIA,BARRELLO (strada privata chiusa),,8,,,,,,,,"strada privata
chiusa",
PIAZZA,BARTOLOMEO DA MESSINA,,8,bisett.,,,x,,,x,C8B12,STRAZZERI
VIA,"BARTOLOZZI GIUSEPPE già VIA M.
37",,8,sett.,,,,,x,,C8S17,STRAZZERI
LARGO,BASILE FILIPPO,,8,sett.,x,,,,,,C8S31,MOZART
VIA,BASILE GIOVANBATTISTA F.,Del Fervore - Marconi,8,sett.,,,,,,x,C8S06,STRAZZERI
VIA,BASILE GIOVANBATTISTA F.,Marconi - Turrisi Colonna,8,sett.,,,,x,,,C8S07,STRAZZERI
VIA,BASILE NINO,,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,BASSI UGO,,8,bisett.,,x,,,x,,C8B08,STRAZZERI
CORTILE,BATTAGLIA,,1,sett.,,,x,,,,C1S16,CAMPISI
VIA,BATTISTI CESARE,Maqueda - Porta S. Agata,1,bisett.,,x,,,x,,C1B21,CAMPISI
PIAZZA,BEATI PAOLI,,1,trisett.,x,,x,,x,,C1T09,STRAZZERI
VIA,BEATI PAOLI,P.zza S. Isidoro alla Guilla - P.zza Beati Paoli,1,bisett.,,x,,,x,,C1B10,STRAZZERI
VIA,BEATI PAOLI,P.za Beati Paoli -Porta Carini,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
LARGO,BEATO JOSEMARIA ESCRIVA',,8,bisett.,,,x,,,x,C8B57,MOZART
VIA,BEETHOVEN LUDWIG VAN,,8,sett.,,,,x,,,C8S28,MOZART
CORTILE,BELLANTE SCALICI,,8,sett.,,,,,,x,C8S24,STRAZZERI
PIAZZA,BELLINI,,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
SALITA,BELMONTE,,8,sett.,,,,x,,,C8S22,MOZART
VIA,BELMONTE,,8,sett.,,,,x,,,C8S22,MOZART
VIA,BENFRATELLI,,1,sett.,,,x,,,,C1S16,CAMPISI
CORTILE,BENSA,,1,sett.,,,,,x,,C1S05,STRAZZERI
CORTILE,BENSO,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,BENTIVEGNA FRANCESCO,Villaermosa - P.pe di Scordia,8,bisett.,,,x,,,x,C8B03,STRAZZERI
VIA,BERNABEI ERCOLE,,8,bisett.,,x,,,x,,C8B59,MOZART
VIA,BETTOLO GIOVANNI AMM.,Rizzo - Palestra,8,sett.,,,,,,x,C8S24,STRAZZERI
VIA,BEVIGNANI ENRICO,Casella - Pizzetti,8,sett.,,x,,,,,C8S26,MOZART
VIA,BIRAGO DALMAZIO(mercato),,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,BIVONA GASPARE,,1,sett.,,,x,,,,C1S03,STRAZZERI
VIA,BLASCO D'ALAGONA,,8,bisett.,x,,,x,,,C8B13,STRAZZERI
VIA,BLIGNY,,8,bisett.,,,x,,,x,C8B40,MOZART
PIAZZA,BOCCACCIO GIOVANNI,,8,bisett.,,,x,,,x,C8B46,MOZART
PIAZZA,BOIARDO MATTEO MARIA,,8,giorn.,x,x,x,x,x,x,C8G12,MOZART
VIA,BOITO ARRIGO,,8,sett.,x,,,,,,C8S25,MOZART
VIA,BOLOGNA,,1,sett.,x,,,,,,C1S08,CAMPISI
PIAZZA,BOLOGNI,,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,BONANNO GIOVANNI,Libertà - Roccaforte,8,bisett.,,x,,,x,,C8B22,MOZART
VIA,BONANNO GIOVANNI,Roccaforte - Sampolo,8,sett.,x,,,,,,C8S09,MOZART
VIA,BONANNO PIETRO,ultimi 50 m. prima di spianata Sagra Grotta,8,trisett.,x,,x,,x,,C8T29,PARTANNA
VIA,BONANNO PIETRO,ultimi 50 m. prima di spianata Sagra Grotta,8,trisett.,,x,,x,,x,C8T30,PARTANNA
VIA,BONANNO PIETRO,rotonda Bonanno - Rampolla,8,quind.,,,,,x,,C8Q02,MOZART
VIA,BONANNO PIETRO,"Rampolla - Ristorante ""Villa Costanza""",8,quind.,,,,,x,,C8Q02,MOZART
VICOLO,BONDIO (1),,1,bisett.,,,x,,,x,C1B03,INGHAM
