TIPO,VIA,TRATTI,CIRC.,FREQ.,LUN,MAR,MER,GIO,VEN,SAB,ITINERARIO,SEDE
VIA,CIMBALI GIUSEPPE,Don Gnocchi - Spedalieri,8,trisett.,,x,,x,,x,C8T22,STRAZZERI
VICOLO,CIMINNITA,,1,sett.,,,,x,,,C1S11,CAMPISI
CORTILE,CIPRIANI,,8,bisett.,x,,,x,,,C8B51,MOZART
LARGO,CIRENE,,8,bisett.,,,x,,,x,C8B30,STRAZZERI
VICOLO,CIRINO NATALE,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
LARGO,CIRRINCIONE ANDREA,,8,sett.,,,,x,,,C8S10,MOZART
VIA,CIRRINCIONE ANDREA,Sampolo - Ferri,8,bisett.,,,x,,,x,C8B21,MOZART
VIA,CIRRINCIONE ANDREA,Ferri - Sadat,8,sett.,,,,,,x,C8S11,MOZART
VIA,CIULLO D'ALCAMO,,8,sett.,,,,x,,,C8S10,MOZART
VIA,CIVILETTI BENEDETTO,,8,bisett.,,x,,,x,,C8B31,STRAZZERI
VIA,CLUVERIO,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,COL DELLA BERRETTA,,8,bisett.,,,x,,,x,C8B40,MOZART
PIAZZA,COLAJANNI NAPOLEONE,,1,bisett.,x,,,x,,,C1B13,CAMPISI
VIA,COLLEGIO DI MARIA AL BORGO,Scinà - Bonomo,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,COLLEGIO DI MARIA AL BORGO,Bonomo - Crispi,8,sett.,x,,,,,,C8S01,STRAZZERI
VIA,COLLEGIO GIUSINO,,1,bisett.,x,,,x,,,C1B19,CAMPISI
VIA,"COLLEGIO MARIA AL CARMINE
(mercato)",,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VICOLO,COLLUZIO,,1,sett.,,,,,x,,C1S12,CAMPISI
PIAZZA,COLONNA,,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
VIA,COLTELLIERI,,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
CORTILE,CONGREGAZIONE DEL VENERDI',,1,sett.,,,x,,,,C1S10,CAMPISI
VICOLO,CONGREGAZIONE DEL VENERDI' (1),,1,sett.,,,x,,,,C1S10,CAMPISI
VICOLO,CONTE CAGLIOSTRO,,1,sett.,,,x,,,,C1S16,CAMPISI
PIAZZA,CONTE FEDERICO,,1,sett.,,,x,,,,C1S16,CAMPISI
VICOLO,CONTE FEDERICO (PAL.REALE),,1,sett.,,,x,,,,C1S16,CAMPISI
VIA,CONTE RUGGERO,,8,sett.,,,,x,,,C8S04,STRAZZERI
VIA,CORDOVA FILIPPO,,8,giorn.,x,x,x,x,x,x,C8G11,MOZART
VIA,CORELLI ARCANGELO,,8,sett.,,,x,,,,C8S27,MOZART
VIA,CORLEO SIMONE,,8,trisett.,,x,,x,,x,C8T07,STRAZZERI
VICOLO,CORPORA,,1,sett.,x,,,,,,C1S08,CAMPISI
CORTILE,CORRAO,,8,bisett.,,,x,,,x,C8B30,STRAZZERI
PASSAGGIO,CORSARO ITALO  già PASSAGGIO L. 1,,8,sett.,,,x,,,,C8S39,MOZART
VIA,CORSELLI,,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,COSENTINO GIUSEPPE,,8,sett.,,,,,x,,C8S29,MOZART
VIA,COSTANTINO DOMENICO,Mattarella - Terrasanta,8,bisett.,x,,,x,,,C8B23,MOZART
VIA,COSTANTINO DOMENICO,Terrasanta - oltre Di Maria,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,COSTANZO AURELIO,,8,sett.,,,,,,x,C8S14,STRAZZERI
VIA,COZZO NARCISO,,8,trisett.,x,,x,,x,,C8T03,STRAZZERI
VIA,CRESCENZIO ANTONIO,,8,bisett.,,x,,,x,,C8B11,STRAZZERI
VIA,"CRISPIFRANCESCO (carreggiata lato
monte)",P.pe di Belmonte - Collegio di Maria al Borgo,8,giorn.,x,x,x,x,x,x,C8G05,STRAZZERI
PIAZZA,CRISPI FRANCESCO,compresi tutti gli interni,8,giorn.,x,x,x,x,x,x,C8G08,STRAZZERI
VIA,CRISPI FRANCESCO,P.za XIII Vittime - S. Sebastiano - entrambe le carreggiate,1,sett.,,,x,,,,C1S03,STRAZZERI
VIA,"CRISPI FRANCESCO(carreggiata lato
monte)",P.pe di Belmonte - P.zza XIII Vittime,8,bisett.,x,,,x,,,C8B01,STRAZZERI
VIA,"CRISPI FRANCESCO (carreggiata lato
mare)",ACCESSO CAPITANERIA DI PORTO,8,bisett.,x,,,x,,,C8B01,STRAZZERI
VIA,"CRISPI FRANCESCO (carreggiata lato
mare)",Collegio di Maria al Borgo - accesso Capitaneria di Porto,8,giorn.,x,x,x,x,x,x,C8G05,STRAZZERI
VIA,"CRISPI FRANCESCO (carreggiata lato
mare)",Scinà - Collegio di Maria al Borgo,8,bisett.,x,,,x,,,C8B07,STRAZZERI
VIA,"CRISPI FRANCESCO (carreggiata lato
mare)",accesso Capitaneria di Porto - P.zza XIII Vittime,8,bisett.,x,,,x,,,C8B01,STRAZZERI
VIA,"CRISPI FRANCESCO (carreggiata lato
monte)",Scinà - Collegio di Maria al Borgo,8,bisett.,x,,,x,,,C8B07,STRAZZERI
PIAZZA,CROCE DEI VESPRI,,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
VIALE,CROCE ROSSA,Emilia- Vittorio Veneto,8,bisett.,,,x,,,x,C8B33,MOZART
CORTILE,CROCIFERI,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,CUCCIA SIMONE,Libertà - Di Marco,8,bisett.,x,,,x,,,C8B41,MOZART
VIA,CUCCIA SIMONE,Di Marco - Boris Giuliano,8,bisett.,,x,,,x,,C8B42,MOZART
LARGO,CUCCO ALFREDO,,8,sett.,x,,,,,,C8S37,MOZART
VIA,CUSIMANO,,8,sett.,x,,,,,,C8S01,STRAZZERI
VIA,CUSMANO GIACOMO,,8,trisett.,x,,x,,x,,C8T05,STRAZZERI
VIA,CUTELLI MARIO,,8,sett.,,,,,x,,C8S05,STRAZZERI
CORTILE,D'ABBENE,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,D'ACQUISTO BENEDETTO,,8,bisett.,,x,,,x,,C8B31,STRAZZERI
VICOLO,DADI,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,DAIDONE,Faccio - Vasta,8,bisett.,,x,,,x,,C8B52,MOZART
VIA,DAIDONE,Faccio - Giordano,8,bisett.,,,x,,,x,C8B53,MOZART
VIA,DAITA GAETANO,,8,trisett.,x,,x,,x,,C8T06,STRAZZERI
VIA,D'ALESSI GIUSEPPE,,1,giorn.,x,x,x,x,x,x,C1G15,CAMPISI
VIA,DALIA,E. Ximenes - Delle Prigioni,8,sett.,,,,x,,,C8S04,STRAZZERI
VIA,DALIA,Bassi - Ximenes,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,D'ALIA ANTONINO,Autonomia Siciliana -Puglisi,8,sett.,,x,,,,,C8S08,MOZART
VIA,DALLA CHIESA C. A. GEN.,,8,trisett.,x,,x,,x,,C8T09,STRAZZERI
VIA,D'AMELIO MARIANO,da Cirrincione,8,sett.,,,,x,,,C8S10,MOZART
VIA,D'AMELIO MARIANO,da Via Autonomia Siciliana,8,bisett.,x,,,x,,,C8B20,MOZART
VIA,DAMIANI ALMEJDA,Mattarella - Terrasanta,8,bisett.,x,,,x,,,C8B23,MOZART
VIA,DAMIANI ALMEJDA,Terrasanta - oltre Di Maria,8,bisett.,,x,,,x,,C8B24,MOZART
VIA,DANEU ANTONIO,,8,sett.,,,,,x,,C8S17,STRAZZERI
VIA,DANIELE FRANCESCO,,1,bisett.,x,,,x,,,C1B04,INGHAM
VIA,D'ANNUNZIO GABRIELE,Unità D'Italia - Alfieri,8,bisett.,x,,,x,,,C8B44,MOZART
VIA,D'ANNUNZIO GABRIELE,Alfieri - Libertà,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,DANTE,Sammartino - La Mantia,8,trisett.,x,,x,,x,,C8T05,STRAZZERI
VIA,DANTE,Sammartino - P.za Castelnuovo,8,giorn.,x,x,x,x,x,x,C8G03,STRAZZERI
VIA,D'APRILE CARLO,,8,sett.,,,,,x,,C8S05,STRAZZERI
VIA,D'ASARO PIETRO,,8,bisett.,,,x,,,x,C8B28,STRAZZERI
VIA,D'AZEGLIO MASSIMO,Don Bosco - Ugdulena,8,bisett.,,x,,,x,,C8B22,MOZART
VIA,DE AMICIS EDMONDO,,8,bisett.,,,x,,,x,C8B19,MOZART
VIA,DE COSMI GIOVANNI AGOSTINO,,8,trisett.,,x,,x,,x,C8T17,MOZART
VIA,DE CRISTOFORIS TOMMASO MAGG,,8,bisett.,x,,,x,,,C8B17,STRAZZERI
CORTILE,DE FRANCHI,,1,sett.,x,,,,,,C1S08,CAMPISI
VICOLO,DE FRANCISCI,,1,bisett.,,,x,,,x,C1B05,INGHAM
VIA,DE GREGORIO ANTONIO,,8,bisett.,x,,,x,,,C8B10,STRAZZERI
VIA,DE LISI BENEDETTO,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,DE SALIBA ANTONIO,,8,sett.,,,x,,,,C8S32,MOZART
VIA,DE SIMONE MARGHERITA,,8,sett.,x,,,,,,C8S13,STRAZZERI
VIA,DE SPUCHES GIUSEPPE,Turrisi Colonna - Dante,8,bisett.,x,,,x,,,C8B29,STRAZZERI
VIA,DE VIGILIA TOMMASO,,1,bisett.,x,,,x,,,C1B13,CAMPISI
LARGO,DEGLI ABETI,,8,trisett.,x,,x,,x,,C8T15,STRAZZERI
VICOLO,DEGLI AGONIZZANTI,,1,sett.,x,,,,,,C1S08,CAMPISI
PIAZZETTA,DEGLI ANGELINI,,1,trisett.,x,,x,,x,,C1T14,STRAZZERI
PIAZZA,DEGLI ARAGONESI,,1,trisett.,x,,x,,x,,C1T10,STRAZZERI
PIAZZETTA,DEGLI ORFANI,,1,sett.,,,,,,x,C1S06,STRAZZERI
VICOLO,DEGLI ORFANI,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,DEGLI ORTI,,8,bisett.,x,,,x,,,C8B17,STRAZZERI
VIA,DEGLI SCALINI,,1,giorn.,x,x,x,x,x,x,C1G09,STRAZZERI
VICOLO,DEGLI ZINGARI (2),,1,sett.,,,,,,x,C1S13,CAMPISI
VIA,DEI BAMBINAI,,1,trisett.,,x,,x,,x,C1T12,STRAZZERI
VIA,DEI BENEDETTINI,P.zza della Pinta - P.zza Mura Montalto,1,giorn.,x,x,x,x,x,x,C1G14,CAMPISI
VICOLO,DEI BENEDETTINI,,1,sett.,,,,,,x,C1S13,CAMPISI
DISCESA,DEI BIANCHI,,1,bisett.,,x,,,x,,C1B02,INGHAM
PIAZZETTA,DEI BIANCHI,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DEI BISCOTTARI,,1,bisett.,,x,,,x,,C1B17,CAMPISI
VICOLO,DEI CALZONAI,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
DISCESA,DEI CANDELAI,,1,sett.,,,,x,,,C1S04,STRAZZERI
VIA,DEI CANTIERI,,8,trisett.,x,,x,,x,,C8T23,STRAZZERI
ARCO,DEI CARTARI,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,DEI CARTARI,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VICOLO,DEI CORRIERI,,1,trisett.,,x,,x,,x,C1T07,INGHAM
VIA,DEI CREDENZIERI,,1,bisett.,x,,,x,,,C1B04,INGHAM
VICOLO,DEI CROCIFERI (1),,1,bisett.,,x,,,x,,C1B02,INGHAM
VICOLO,DEI CROCIFERI (2),,1,bisett.,,x,,,x,,C1B02,INGHAM
VICOLO,DEI CROCIFISSARI,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,DEI FRANGIAI,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
DISCESA,DEI GIOVENCHI,,1,trisett.,x,,x,,x,,C1T09,STRAZZERI
DISCESA,DEI GIUDICI,P.za S. Anna - Roma,1,giorn.,x,x,x,x,x,x,C1G04,INGHAM
DISCESA,DEI GIUDICI,P.za Bellini - Roma,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
VIA,DEI LEONI,,8,sett.,,,,x,,,C8S40,MOZART
CORSO,DEI MILLE,Milano - Linconl,1,trisett.,x,,x,,x,,C1T04,INGHAM
DISCESA,DEI MUSICI,,1,giorn.,x,x,x,x,x,x,C1G16,CAMPISI
VIA,DEI NASSAIUOLI,,1,bisett.,,x,,,x,,C1B02,INGHAM
VICOLO,DEI NASSAIUOLI,,1,bisett.,,x,,,x,,C1B02,INGHAM
CORTILE,DEI PELLEGRINI,,1,trisett.,x,,x,,x,,C1T11,STRAZZERI
VICOLO,DEI PIRRIATURI,,1,sett.,,x,,,,,C1S02,STRAZZERI
PASSAGGIO,DEI POETI,solo imbocco su strada pubblica,8,bisett.,,,x,,,x,C8B46,MOZART
VIA,DEI PRETI,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,DEI SEGGETTIERI,,1,sett.,x,,,,,,C1S01,STRAZZERI
PIAZZA,DEI TEDESCHI,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,DEI TINTORI,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
VIA,DEI TORNIERI,,1,trisett.,,x,,x,,x,C1T07,INGHAM
SALITA,DEL BANDITORE,,1,sett.,,,,x,,,C1S17,CAMPISI
VICOLO,DEL BARRILAIO,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VIA,DEL BASTIONE,Cadorna - P.zza Vittoria,1,giorn.,x,x,x,x,x,x,C1G13,CAMPISI
VIA,DEL BASTIONE,Cadorna - Dei Benedettini,1,giorn.,x,x,x,x,x,x,C1G14,CAMPISI
VIA,DEL BERSAGLIERE,,8,trisett.,x,,x,,x,,C8T24,MOZART
VIA,DEL BONO MICHELE,,8,bisett.,,,x,,,x,C8B06,STRAZZERI
VIA,DEL BOSCO,,1,trisett.,x,,x,,x,,C1T01,CAMPISI
VICOLO,DEL BOSCO,,1,trisett.,x,,x,,x,,C1T01,CAMPISI
VICOLO,DEL CARMELO,,1,sett.,,,x,,,,C1S10,CAMPISI
PIAZZA,DEL CARMINE (esterno mercato),,1,bisett.,,x,,,x,,C1B21,CAMPISI
PIAZZA,DEL CARMINE (mercato),,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,DEL CELSO,,1,bisett.,x,,,x,,,C1B19,CAMPISI
VIA,DEL COMMERCIO,,8,bisett.,,,x,,,x,C8B06,STRAZZERI
CORTILE,DEL CONVENTO,,1,trisett.,,x,,x,,x,C1T07,INGHAM
CORTILE,DEL CORDARO,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
VICOLO,DEL CRIVELLARO,,1,sett.,,,x,,,,C1S16,CAMPISI
VICOLO,DEL CROCIFISSO,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DEL FERVORE,,8,bisett.,x,,,x,,,C8B29,STRAZZERI
VIA,DEL FONDACO,,1,bisett.,x,,,x,,,C1B16,CAMPISI
PIAZZETTA,DEL GIGLIO,,1,bisett.,,,x,,,x,C1B03,INGHAM
VICOLO,DEL GIGLIO,,1,bisett.,,,x,,,x,C1B03,INGHAM
VIA,DEL GIUDICE MICHELE,,1,bisett.,x,,,x,,,C1B13,CAMPISI
CORTILE,DEL GIUOCO,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DEL GRANATIERE,,8,trisett.,x,,x,,x,,C8T24,MOZART
VIA,DEL LUME (interno Pretura),,1,,,,,,,,"strada privata
chiusa",
VIA,DEL MEDICO,,8,sett.,,,x,,,,C8S03,STRAZZERI
VIA,DEL MONTE,,1,bisett.,,x,,,x,,C1B10,STRAZZERI
CORTILE,DEL MUSICO,,1,bisett.,,,x,,,x,C1B18,CAMPISI
CORTILE,DEL NOTARO,,1,sett.,x,,,,,,C1S08,CAMPISI
VIA,DEL NOVIZIATO,P.zza Noviziato - Pagano,1,giorn.,x,x,x,x,x,x,C1G09,STRAZZERI
VIA,DEL NOVIZIATO,Cappuccinelle - Noviziato,1,bisett.,x,,,x,,,C1B12,STRAZZERI
CORTILE,DEL PALLONE,,1,bisett.,,x,,,x,,C1B02,INGHAM
PIAZZETTA,DEL PALLONE,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DEL PALLONE,,1,bisett.,,x,,,x,,C1B02,INGHAM
VICOLO,DEL PALLONE,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DEL PAPPAGALLO,,1,trisett.,,x,,x,,x,C1T06,INGHAM
PIAZZA,DEL PARLAMENTO,(compreso grad. collegamento C.so Vitt. Emananuele),1,giorn.,x,x,x,x,x,x,C1G13,CAMPISI
VIA,DEL PARLAMENTO,,1,trisett.,,x,,x,,x,C1T07,INGHAM
PIAZZETTA,DEL PARLATOIO,,1,sett.,,,,x,,,C1S04,STRAZZERI
VICOLO,DEL PINO,,1,sett.,,,,x,,,C1S11,CAMPISI
VIA,DEL POETA,,1,sett.,,,,x,,,C1S07,STRAZZERI
PIAZZA,DEL PONTICELLO,,1,bisett.,,,x,,,x,C1B20,CAMPISI
VIA,DEL PROTONOTARO,,1,bisett.,,x,,,x,,C1B17,CAMPISI
VIA,DEL QUARNARO,,8,sett.,x,,,,,,C8S37,MOZART
VIA,DEL QUATTRO APRILE,,1,giorn.,x,x,x,x,x,x,C1G05,INGHAM
PIAZZA,DEL RITIRO DI S.PIETRO,,1,sett.,,,,x,,,C1S17,CAMPISI
VIA,DEL RITIRO DI S.PIETRO,,1,bisett.,x,,,x,,,C1B13,CAMPISI
VICOLO,DEL ROMITO,,1,sett.,,,x,,,,C1S10,CAMPISI
VLO,DEL S. UFFIZIO (V BUTERA),,1,bisett.,,,x,,,x,C1B05,INGHAM
VICOLO,DEL SECCO,,1,sett.,,,,,,x,C1S06,STRAZZERI
CORTILE,DEL SEMOLAIO,,1,sett.,,,,,x,,C1S12,CAMPISI
VIA,DEL SOLE,,1,giorn.,x,x,x,x,x,x,C1G03,INGHAM
CORTILE,DELLA CANNA,,1,bisett.,x,,,x,,,C1B19,CAMPISI
PIAZZETTA,DELLA CANNA,,1,bisett.,x,,,x,,,C1B19,CAMPISI
VICOLO,DELLA CASSETTA,,1,sett.,x,,,,,,C1S01,STRAZZERI
VIA,DELLA CERA,B. Gravina - Scinà,8,sett.,,x,,,,,C8S02,STRAZZERI
VICOLO,DELLA COLOMBA,,1,sett.,,,,x,,,C1S11,CAMPISI
CORTILE,DELLA CONCEZIONE,,1,sett.,x,,,,,,C1S01,STRAZZERI
PIAZZA,DELLA CONCEZIONE,,1,sett.,x,,,,,,C1S01,STRAZZERI
VIA,DELLA CONCEZIONE,,1,sett.,x,,,,,,C1S01,STRAZZERI
VIA,DELLA FAVORITA,,8,quind.,,,,,x,,C8Q02,MOZART
CORTILE,DELLA GANCIA (1),,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
CORTILE,DELLA GANCIA (2),,1,giorn.,x,x,x,x,x,x,C1G03,INGHAM
CORTILE,DELLA GRAZIA,,1,sett.,x,,,,,,C1S08,CAMPISI
VICOLO,DELLA GROTTA,,1,sett.,,,,x,,,C1S11,CAMPISI
VICOLO,DELLA GUARDIOLA,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VIA,DELLA INCORONAZIONE,,1,giorn.,x,x,x,x,x,x,C1G17,CAMPISI
SALITA,DELLA INTENDENZA,,1,trisett.,,x,,x,,x,C1T06,INGHAM
PIAZZA,DELLA KALSA,,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VIA,DELLA LIBERTA',Vittorio Veneto - Di Blasi,8,bisett.,x,,,x,,,C8B41,MOZART
VIA,DELLA LIBERTA',Di Blasi - Gargallo,8,bisett.,,,x,,,x,C8B43,MOZART
VIA,DELLA LIBERTA',Gargallo - Ariosto,8,bisett.,,x,,,x,,C8B45,MOZART
VIA,DELLA LIBERTA',Ariosto - Notarbartolo,8,bisett.,,,x,,,x,C8B46,MOZART
VIA,DELLA LIBERTA',Turati - Amari,8,giorn.,x,x,x,x,x,x,C8G06,STRAZZERI
VIA,DELLA LIBERTA',P.za Mordini - Dante (bretella laterale lato monte),8,giorn.,x,x,x,x,x,x,C8G09,STRAZZERI
VIA,DELLA LIBERTA',Notabartolo - P.za Mordini,8,giorn.,x,x,x,x,x,x,C8G09,STRAZZERI
VIA,DELLA LIBERTA',Delegazione Comunale,8,giorn.,x,x,x,x,x,x,C8G09,STRAZZERI
VIA,DELLA LIBERTA',Turati - P.zza Crispi (bretella laterale lato mare),8,giorn.,x,x,x,x,x,x,C8G07,STRAZZERI
VIA,DELLA LOGGIA,,1,trisett.,,x,,x,,x,C1T08,STRAZZERI
CORTILE,DELLA MERCEDE,,1,sett.,x,,,,,,C1S01,STRAZZERI
PIAZZETTA,DELLA MESSINESE,,1,trisett.,x,,x,,x,,C1T05,INGHAM
VICOLO,DELLA NEVE ALL'ALLORO,,1,trisett.,,x,,x,,x,C1T06,INGHAM
PIAZZA,DELLA PACE,compreso slargo a ridosso di Via Archimede,8,bisett.,x,,,x,,,C8B07,STRAZZERI
VICOLO,DELLA PALLA,,1,giorn.,x,x,x,x,x,x,C1G08,STRAZZERI
P.TTA,DELLA PIETA',,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VICOLO,DELLA PILA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
PIAZZA,DELLA PINTA,(compresa gradinata accesso Palazzo dei Normanni),1,giorn.,x,x,x,x,x,x,C1G14,CAMPISI
VIA,DELLA REGIA ZECCA,,1,trisett.,,x,,x,,x,C1T06,INGHAM
PIAZZA,DELLA RIVOLUZIONE,,1,trisett.,x,,x,,x,,C1T05,INGHAM
VICOLO,DELLA RONDA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,DELLA ROSA BIANCA,,1,bisett.,,x,,,x,,C1B07,STRAZZERI
VICOLO,DELLA RUOTA,,1,sett.,,,,,x,,C1S05,STRAZZERI
PIAZZETTA,DELLA SAPONERIA,,1,giorn.,x,x,x,x,x,x,mercati,INGHAM -RD
VIA,DELLA SFERA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,DELLA SPERANZA,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VICOLO,DELLA STECCA,,8,sett.,,,x,,,,C8S03,STRAZZERI
CORTILE,DELLA STUFA,,1,bisett.,x,,,x,,,C1B19,CAMPISI
VIA,DELLA VETRIERA,,1,giorn.,x,x,x,x,x,x,C1G03,INGHAM
VICOLO,DELLA VOLTA,,1,sett.,,x,,,,,C1S15,CAMPISI
VIA,DELLA ZAGARA,,1,sett.,,,,,,x,C1S06,STRAZZERI
VICOLO,DELL'ABBADIA,,1,sett.,x,,,,,,C1S01,STRAZZERI
VICOLO,DELL'ALTARE,,1,bisett.,x,,,x,,,C1B12,STRAZZERI
VIA,DELL'ALTARE (interno Pretura),,1,,,,,,,,"strada privata
chiusa",
CORTILE,DELL'ANELLO,,1,sett.,,x,,,,,C1S02,STRAZZERI
VICOLO,DELL'ANELLO,,1,sett.,,x,,,,,C1S02,STRAZZERI
VIA,DELL'ARCO,,8,bisett.,,x,,,x,,C8B11,STRAZZERI
VICOLO,DELL'ARSENALE,,8,bisett.,,x,,,x,,C8B11,STRAZZERI
VIA,DELL'ARSENALE (EX C. CRISTOFORO),P.zza Caponnetto - accesso porto,8,trisett.,x,,x,,x,,C8T23,STRAZZERI
VIA,DELL'ARSENALE (EX C. CRISTOFORO),accesso porto - fine strada,8,bisett.,,x,,,x,,C8B11,STRAZZERI
VIA,DELL'ARTIGLIERE,,8,bisett.,x,,,x,,,C8B32,MOZART
VIA,DELL'AUTONOMIA SICILIANA,Ferri - Cascino,8,trisett.,,x,,x,,x,C8T20,STRAZZERI
VIA,DELL'AUTONOMIA SICILIANA,bretella laterale tra Via D'Amelio e Via Morselli,8,bisett.,x,,,x,,,C8B20,MOZART
VIALE,DELLE ALPI,Lazio - Aquileia (carreggiata lato Abruzzi),8,bisett.,,,x,,,x,C8B37,MOZART
VIALE,DELLE ALPI,Lazio - Aquileia (carreggiata lato Aquileia),8,bisett.,,,x,,,x,C8B37,MOZART
VIALE,DELLE ALPI,Lazio - P.pe di Paternò (entrambe le carreggiate),8,bisett.,x,,,x,,,C8B38,MOZART
PIAZZETTA,DELLE API,,1,sett.,,,,,x,,C1S05,STRAZZERI
VICOLO,DELLE API,Discesa Candelai - Vicolo Caldomai,1,sett.,,,,x,,,C1S04,STRAZZERI
VICOLO,DELLE API,Spirito Santo - Discesa Candelai,1,sett.,,,,,x,,C1S05,STRAZZERI
VIA,DELLE BALATE,,1,sett.,,,,,x,,C1S12,CAMPISI
SALITA,DELLE BALATE (SCALINATA),,1,sett.,,,,,x,,C1S12,CAMPISI
CORTILE,DELLE BISACCE,,1,sett.,x,,,,,,C1S14,CAMPISI
DISCESA,DELLE CAPRE,,1,sett.,,,,,x,,C1S05,STRAZZERI
VIA,DELLE CASE NUOVE,,1,trisett.,x,,x,,x,,C1T01,CAMPISI
VIA,DELLE CROCI,Via Calvi - P.zza Crispi,8,giorn.,x,x,x,x,x,x,C8G08,STRAZZERI
VIA,DELLE CROCI,Calvi - Remo Sandron,8,trisett.,,x,,x,,x,C8T08,STRAZZERI
PIAZZETTA,DELLE DOGANE,,1,giorn.,x,x,x,x,x,x,C1G05,INGHAM
VIA,DELLE LETTIGHE,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIALE,DELLE MAGNOLIE,Botticelli - Delle Alpi,8,sett.,,,,,,x,C8S35,MOZART
VIALE,DELLE MAGNOLIE,Alpi - Sciuti,8,sett.,,,,x,,,C8S34,MOZART
VIALE,DELLE MAGNOLIE,Boris Giuliano - Sciuti,8,bisett.,x,,,x,,,C8B39,MOZART
VICOLO,DELLE MURA,,1,giorn.,x,x,x,x,x,x,C1G07,STRAZZERI
VIA,DELLE PERGOLE,,1,bisett.,,x,,,x,,C1B21,CAMPISI
VICOLO,DELLE PERGOLE,,1,sett.,,x,,,,,C1S09,CAMPISI
VICOLO,DELLE RUOTE,,1,sett.,,,x,,,,C1S10,CAMPISI
VIA,DELLE SCUOLE,,1,giorn.,x,x,x,x,x,x,C1G17,CAMPISI
PIAZZETTA,DELLE SEDIE VOLANTI,,1,sett.,,,,,,x,C1S06,STRAZZERI
VIA,DELLE SEDIE VOLANTI,,1,sett.,,,,,,x,C1S06,STRAZZERI
PIAZZA,DELLE STIGMATE,,1,giorn.,x,x,x,x,x,x,C1G11,STRAZZERI
VICOLO,DELLE TRAVI,,1,bisett.,,,x,,,x,C1B05,INGHAM
PIAZZETTA,DELLE VERGINI,,1,sett.,,,,x,,,C1S04,STRAZZERI
VICOLO,DELLE VERGINI,,1,sett.,,,,x,,,C1S04,STRAZZERI
PIAZZETTA,DELLE VITTIME,,1,bisett.,x,,,x,,,C1B16,CAMPISI
LARGO,DELL'ESEDRA,,8,bisett.,x,,,x,,,C8B41,MOZART
DISCESA,DELL'ETERNITA',,1,sett.,,x,,,,,C1S02,STRAZZERI
CORTILE,DELLO SPASIMO,,1,bisett.,,x,,,x,,C1B02,INGHAM
VIA,DELLO SPASIMO,della Vetriera - P.zza Vittoria,1,giorn.,x,x,x,x,x,x,C1G01,INGHAM
VIA,DELLO SPASIMO,Evola - della Vetriera,1,giorn.,x,x,x,x,x,x,C1G03,INGHAM
VIA,DELLO SPEZIALE,P.pe di Scordia -Cusimano,8,sett.,,x,,,,,C8S02,STRAZZERI
VIA,DELLO SPEZIALE,Cusimano - Crispi,8,sett.,x,,,,,,C8S01,STRAZZERI
VIA,DELLO SPEZIO,Amari - Roma,8,bisett.,,,x,,,x,C8B06,STRAZZERI
